vehicle_type,second_vehicle_type,date,time,road_has_pavement,distance_to_nearest_traffic_light,speed_limit,estimated_speed_of_collision,speed_of_collision_rangeseat_belt_used,injury_sustained,lethal,land_use,city
Pedestrian,Bicycle,06/07/18,08:01,1,17,30,26,25 - 30,N/A,1,0,Transport,Nairobi
Bicycle,Car,18/09/18,03:55,0,5,30,28,25 - 30,0,1,0,Industrial,Kehancha
Car,Car,01/12/18,03:08,1,9,70,73,70 - 75,1,1,0,Commercial,Nairobi
Bicycle,Car,25/08/18,17:48,0,29,30,38,35 - 40,1,1,0,Transport,Mombasa
Car,Car,05/05/18,15:09,0,5,60,58,55 - 60,1,1,0,Industrial,Nakuru
Car,Car,10/04/18,10:17,1,31,70,73,70 - 75,1,1,1,Transport,Nairobi
Car,Car,06/08/18,17:14,0,27,50,53,50 - 55,1,1,0,Residential,Nairobi
Car,Car,09/03/18,10:14,0,24,60,65,65 - 70,0,1,1,Residential,Eldoret
Bicycle,Car,13/11/18,17:52,0,36,40,35,35 - 40,0,1,0,Residential,Kikuyu
Motorbike,Car,05/03/18,19:15,1,9,60,54,50 - 55,1,1,0,Residential,Nakuru
Pedestrian,Motorbike,22/02/18,10:46,1,16,20,10,10 - 15,N/A,1,0,Commercial,Nakuru
Car,Car,18/12/18,08:47,1,22,50,50,50 - 55,1,1,1,Transport,Kehancha
Motorbike,Car,07/09/18,18:29,0,25,30,26,25 - 30,1,1,0,Commercial,Nairobi
Car,Motorbike,04/07/18,18:11,1,12,40,27,25 - 30,0,1,0,Industrial,Nairobi
Car,Motorbike,10/08/18,17:17,0,10,60,66,65 - 70,0,1,1,Residential,Nairobi
Bicycle,Bicycle,13/08/18,17:12,0,14,30,33,30 - 35,N/A,0,0,Agricultural,Eldoret
Motorbike,Car,04/07/18,16:14,0,22,40,28,25 - 30,1,1,0,Industrial,Kikuyu
Bicycle,Pedestrian,14/03/18,20:55,0,27,20,13,10 - 15,N/A,1,0,Agricultural,Nairobi
Pedestrian,Motorbike,22/09/18,11:31,0,19,40,30,30 - 35,N/A,1,0,Agricultural,Kisumu
Bicycle,Bicycle,04/03/18,19:57,0,21,20,22,20 - 25,N/A,1,0,Residential,Mombasa
Car,Car,04/10/18,18:17,0,22,50,58,55 - 60,0,1,0,Agricultural,Mombasa
Car,Car,02/09/18,18:26,0,12,50,51,50 - 55,1,1,0,Agricultural,Mombasa
Car,Pedestrian,26/04/18,01:41,0,19,40,39,35 - 40,1,1,0,Agricultural,Nairobi
Car,Motorbike,19/06/18,09:09,1,10,60,68,65 - 70,1,1,1,Residential,Nairobi
Car,Car,25/12/18,06:35,0,9,70,74,70 - 75,1,1,1,Agricultural,Nairobi
Motorbike,Car,20/02/18,13:43,1,22,40,43,40 - 45,1,1,0,Commercial,Nairobi
Bicycle,Pedestrian,25/03/18,20:39,0,47,40,35,35 - 40,N/A,1,0,Transport,Eldoret
Motorbike,Bicycle,13/10/18,20:12,1,13,30,25,25 - 30,N/A,1,0,Commercial,Nairobi
Motorbike,Motorbike,22/08/18,00:42,0,12,40,44,40 - 45,N/A,1,1,Agricultural,Nairobi
Bicycle,Bicycle,24/11/18,18:27,0,14,30,33,30 - 35,N/A,0,0,Agricultural,Nairobi
Pedestrian,Bicycle,01/12/18,08:21,1,0,20,11,10 - 15,N/A,1,0,Commercial,Nairobi
Pedestrian,Bicycle,13/11/18,08:52,0,25,30,27,25 - 30,N/A,1,0,Agricultural,Nairobi
Pedestrian,Car,02/09/18,08:59,0,5,40,43,40 - 45,1,1,0,Agricultural,Nairobi
Car,Motorbike,18/12/18,02:05,1,24,50,62,60 - 65,1,1,0,Industrial,Kikuyu
Motorbike,Car,11/10/18,19:04,0,18,40,55,55 - 60,0,1,1,Residential,Eldoret
Car,Car,28/03/18,23:00,1,23,60,50,50 - 55,0,1,1,Commercial,Kikuyu
Motorbike,Car,04/08/18,20:42,0,9,40,38,35 - 40,1,1,0,Agricultural,Mombasa
Car,Car,19/02/18,03:36,1,35,60,65,65 - 70,1,1,0,Industrial,Nairobi
Motorbike,Motorbike,24/08/18,17:50,0,17,40,44,40 - 45,N/A,1,0,Commercial,Mombasa
Car,Car,08/08/18,00:58,0,11,60,75,75 - 80,0,1,1,Residential,Nairobi
Pedestrian,Car,06/03/18,19:19,1,22,30,26,25 - 30,1,1,0,Residential,Nairobi
Motorbike,Car,10/01/18,08:36,1,2,60,52,50 - 55,1,1,1,Commercial,Nairobi
Car,Motorbike,06/11/18,17:41,1,18,70,64,60 - 65,1,1,0,Commercial,Nairobi
Car,Car,28/07/18,18:23,0,22,60,55,55 - 60,1,1,1,Agricultural,Mombasa
Bicycle,Pedestrian,20/02/18,14:53,0,2,30,34,30 - 35,N/A,0,0,Residential,Nairobi
Car,Motorbike,18/01/18,10:11,1,9,50,49,45 - 50,1,1,0,Commercial,Nairobi
Pedestrian,Car,16/10/18,02:36,0,22,30,34,30 - 35,1,1,0,Agricultural,Mombasa
Motorbike,Pedestrian,15/11/18,08:43,0,19,20,21,20 - 25,N/A,1,0,Transport,Nairobi
Car,Motorbike,15/08/18,08:15,1,9,60,49,45 - 50,1,1,0,Industrial,Nairobi
Bicycle,Pedestrian,25/07/18,19:55,1,0,30,28,25 - 30,N/A,1,0,Commercial,Nairobi
Car,Car,28/07/18,20:03,0,17,50,50,50 - 55,1,1,0,Residential,Nairobi
Bicycle,Bicycle,18/05/18,19:39,1,3,40,42,40 - 45,N/A,1,0,Residential,Nairobi
Bicycle,Motorbike,21/11/18,18:02,1,24,30,25,25 - 30,N/A,1,0,Residential,Nakuru
Bicycle,Bicycle,16/03/18,01:07,0,9,20,26,25 - 30,N/A,1,0,Residential,Nairobi
Pedestrian,Bicycle,01/12/18,08:42,0,8,30,36,35 - 40,N/A,1,0,Residential,Mombasa
Car,Car,28/03/18,20:49,1,1,60,61,60 - 65,1,1,0,Residential,Nairobi
Motorbike,Pedestrian,07/09/18,19:20,0,17,20,30,30 - 35,N/A,1,0,Residential,Mombasa
Car,Bicycle,07/08/18,00:50,0,24,30,38,35 - 40,1,1,1,Agricultural,Nairobi
Pedestrian,Car,14/03/18,20:35,0,18,20,20,20 - 25,1,1,0,Agricultural,Nairobi
Pedestrian,Car,24/01/18,18:05,0,20,30,32,30 - 35,0,1,0,Residential,Mombasa
Motorbike,Pedestrian,14/07/18,17:21,0,11,20,25,25 - 30,N/A,1,0,Agricultural,Eldoret
Pedestrian,Bicycle,13/06/18,08:15,0,12,30,20,20 - 25,N/A,1,0,Residential,Nairobi
Car,Car,23/02/18,18:23,0,20,50,44,40 - 45,1,1,0,Residential,Nairobi
Motorbike,Motorbike,13/03/18,17:51,0,5,40,43,40 - 45,N/A,1,0,Industrial,Nairobi
Bicycle,Bicycle,26/12/18,23:19,1,6,20,30,30 - 35,N/A,1,0,Residential,Nakuru
Motorbike,Car,26/07/18,20:07,1,12,60,60,60 - 65,0,1,1,Commercial,Kisumu
Car,Pedestrian,26/01/18,19:44,1,22,40,46,45 - 50,1,1,0,Transport,Kehancha
Pedestrian,Car,20/07/18,18:23,0,11,40,39,35 - 40,1,1,0,Agricultural,Mombasa
Pedestrian,Pedestrian,16/07/18,10:37,1,19,20,28,25 - 30,N/A,0,0,Commercial,Nairobi
Car,Car,06/08/18,17:47,1,9,60,59,55 - 60,1,1,0,Residential,Mombasa
Car,Motorbike,28/12/18,18:20,1,10,50,37,35 - 40,1,1,0,Commercial,Nairobi
Pedestrian,Bicycle,28/06/18,17:32,0,5,30,32,30 - 35,N/A,0,0,Industrial,Mombasa
Car,Car,16/10/18,17:37,0,26,50,51,50 - 55,1,1,0,Commercial,Nairobi
Bicycle,Bicycle,19/12/18,10:54,0,12,20,25,25 - 30,N/A,1,0,Commercial,Nairobi
Motorbike,Motorbike,12/08/18,18:09,0,18,40,29,25 - 30,N/A,1,0,Industrial,Kehancha
Car,Motorbike,17/09/18,03:14,0,11,50,55,55 - 60,1,1,0,Agricultural,Kehancha
Car,Car,28/07/18,10:23,0,28,50,53,50 - 55,1,1,0,Transport,Nairobi
Bicycle,Pedestrian,07/05/18,20:56,0,27,20,18,15 - 20,N/A,1,0,Residential,Nairobi
Motorbike,Bicycle,05/09/18,06:29,0,22,40,50,50 - 55,N/A,1,0,Residential,Nairobi
Car,Car,05/02/18,03:36,1,28,50,43,40 - 45,1,1,0,Commercial,Nairobi
Car,Car,10/03/18,18:16,0,4,50,46,45 - 50,1,1,0,Residential,Nairobi
Pedestrian,Motorbike,21/01/18,19:20,1,10,40,36,35 - 40,N/A,1,0,Commercial,Kisumu
Car,Pedestrian,11/09/18,17:44,1,17,40,38,35 - 40,0,1,0,Residential,Nairobi
Car,Car,18/09/18,17:48,0,40,70,79,75 - 80,0,1,1,Residential,Kikuyu
Pedestrian,Pedestrian,26/10/18,20:22,1,16,20,24,20 - 25,N/A,0,0,Residential,Nairobi
Car,Car,04/02/18,15:39,0,30,50,50,50 - 55,0,1,1,Residential,Kisumu
Car,Car,28/08/18,10:14,0,20,30,35,35 - 40,1,1,0,Residential,Nairobi
Car,Car,26/01/18,17:20,0,45,50,60,60 - 65,1,1,0,Residential,Nakuru
Car,Car,10/02/18,22:40,1,23,60,60,60 - 65,1,1,0,Residential,Nairobi
Pedestrian,Pedestrian,07/04/18,09:11,0,12,30,29,25 - 30,N/A,0,0,Agricultural,Nairobi
Car,Car,14/01/18,10:07,1,34,50,44,40 - 45,0,1,0,Residential,Nakuru
Bicycle,Pedestrian,10/05/18,20:38,1,8,30,40,40 - 45,N/A,1,0,Transport,Nakuru
Car,Car,22/08/18,18:36,0,29,30,26,25 - 30,1,0,0,Commercial,Nairobi
Bicycle,Car,14/09/18,10:42,0,0,40,26,25 - 30,1,0,0,Transport,Nairobi
Pedestrian,Motorbike,05/06/18,09:21,1,6,40,25,25 - 30,N/A,1,0,Residential,Nairobi
Motorbike,Car,23/02/18,06:44,0,15,40,40,40 - 45,1,1,0,Residential,Mombasa
Car,Bicycle,27/01/18,23:52,0,7,30,27,25 - 30,0,1,0,Agricultural,Kisumu
Motorbike,Motorbike,04/01/18,05:06,0,24,50,52,50 - 55,N/A,1,0,Residential,Mombasa
Bicycle,Pedestrian,01/10/18,17:13,0,14,20,26,25 - 30,N/A,0,0,Agricultural,Nairobi
Pedestrian,Car,02/04/18,09:11,0,27,40,25,25 - 30,1,1,0,Transport,Nairobi
Pedestrian,Pedestrian,05/05/18,17:43,1,16,30,32,30 - 35,N/A,0,0,Commercial,Nairobi
Motorbike,Car,17/11/18,03:41,1,1,50,52,50 - 55,1,1,0,Agricultural,Kisumu
Pedestrian,Pedestrian,11/09/18,15:00,0,6,30,36,35 - 40,N/A,0,0,Agricultural,Mombasa
Car,Motorbike,02/08/18,20:51,0,0,50,40,40 - 45,1,1,0,Agricultural,Nairobi
Car,Car,22/01/18,08:48,0,18,50,49,45 - 50,1,1,0,Residential,Nairobi
Pedestrian,Car,24/09/18,20:29,1,12,30,30,30 - 35,1,1,0,Residential,Eldoret
Car,Car,23/09/18,09:55,1,0,60,58,55 - 60,1,1,0,Commercial,Nairobi
Bicycle,Car,02/09/18,08:21,0,18,40,45,45 - 50,1,1,0,Industrial,Nairobi
Bicycle,Pedestrian,13/09/18,20:30,0,13,30,30,30 - 35,N/A,1,0,Residential,Nakuru
Car,Pedestrian,25/01/18,04:59,1,10,30,30,30 - 35,1,0,0,Commercial,Nakuru
Car,Car,14/09/18,20:11,0,10,60,62,60 - 65,1,1,1,Agricultural,Nairobi
Car,Car,07/06/18,01:38,0,16,50,43,40 - 45,1,1,0,Residential,Nairobi
Motorbike,Pedestrian,26/05/18,02:48,0,5,40,50,50 - 55,N/A,1,0,Agricultural,Nairobi
Motorbike,Motorbike,26/05/18,16:57,0,21,20,14,10 - 15,N/A,1,0,Transport,Nairobi
Car,Car,22/07/18,17:12,0,33,60,62,60 - 65,1,1,0,Agricultural,Nairobi
Bicycle,Bicycle,11/02/18,18:31,1,16,30,33,30 - 35,N/A,0,0,Commercial,Nairobi
Car,Car,24/08/18,17:17,0,20,40,26,25 - 30,1,1,0,Residential,Nairobi
Bicycle,Bicycle,09/07/18,19:24,1,31,30,33,30 - 35,N/A,1,0,Transport,Nairobi
Bicycle,Car,01/07/18,18:05,1,22,40,35,35 - 40,1,1,0,Residential,Nairobi
Pedestrian,Pedestrian,02/12/18,09:32,0,19,30,30,30 - 35,N/A,1,0,Residential,Nairobi
Bicycle,Car,04/05/18,17:21,0,9,30,24,20 - 25,1,0,0,Residential,Nakuru
Car,Bicycle,06/08/18,09:28,0,33,30,17,15 - 20,1,1,0,Agricultural,Nairobi
Bicycle,Pedestrian,07/01/18,14:54,0,28,30,30,30 - 35,N/A,1,0,Residential,Mombasa
Motorbike,Motorbike,08/05/18,08:19,0,18,50,44,40 - 45,N/A,1,0,Residential,Nakuru
Motorbike,Car,12/10/18,20:28,1,17,50,57,55 - 60,0,1,1,Commercial,Mombasa
Pedestrian,Pedestrian,16/02/18,09:29,0,15,20,9,5 - 10,N/A,1,0,Agricultural,Nairobi
Bicycle,Pedestrian,11/01/18,09:46,1,28,20,20,20 - 25,N/A,1,0,Residential,Mombasa
Pedestrian,Pedestrian,20/04/18,00:44,0,10,30,17,15 - 20,N/A,1,0,Residential,Nairobi
Car,Bicycle,12/01/18,15:17,0,16,50,48,45 - 50,0,1,1,Residential,Mombasa
Car,Car,19/11/18,09:21,1,21,60,54,50 - 55,1,1,1,Commercial,Kikuyu
Car,Car,09/11/18,22:08,0,4,60,56,55 - 60,1,1,0,Commercial,Nairobi
Car,Car,19/10/18,10:10,0,18,60,66,65 - 70,1,1,0,Agricultural,Nairobi
Car,Car,07/09/18,17:52,0,10,50,44,40 - 45,1,1,0,Agricultural,Nairobi
Bicycle,Pedestrian,28/05/18,08:13,1,16,30,39,35 - 40,N/A,1,0,Commercial,Kikuyu
Motorbike,Car,17/07/18,08:59,0,1,70,65,65 - 70,1,1,1,Residential,Nairobi
Car,Car,04/05/18,10:06,1,35,70,59,55 - 60,1,1,0,Residential,Nairobi
Bicycle,Motorbike,27/12/18,18:34,0,22,40,49,45 - 50,N/A,1,0,Residential,Nairobi
Car,Motorbike,07/03/18,18:09,0,9,70,67,65 - 70,1,1,0,Agricultural,Nairobi
Pedestrian,Pedestrian,22/07/18,09:49,0,26,20,20,20 - 25,N/A,0,0,Residential,Nairobi
Car,Bicycle,09/02/18,18:17,0,25,50,55,55 - 60,0,1,0,Residential,Kikuyu
Car,Car,24/06/18,08:46,0,20,50,47,45 - 50,0,1,0,Residential,Eldoret
Car,Motorbike,17/07/18,09:21,1,11,40,39,35 - 40,0,1,0,Residential,Mombasa
Motorbike,Motorbike,22/07/18,19:55,1,12,20,16,15 - 20,N/A,1,0,Industrial,Kisumu
Bicycle,Car,09/02/18,11:26,0,2,50,57,55 - 60,0,1,0,Commercial,Kikuyu
Bicycle,Pedestrian,15/10/18,19:30,0,33,30,40,40 - 45,N/A,1,0,Residential,Nairobi
Pedestrian,Bicycle,14/08/18,20:40,1,13,20,11,10 - 15,N/A,0,0,Residential,Mombasa
Bicycle,Bicycle,25/12/18,18:51,1,16,40,40,40 - 45,N/A,0,0,Residential,Nairobi
Bicycle,Bicycle,01/08/18,08:07,1,32,30,31,30 - 35,N/A,1,0,Residential,Kikuyu
Pedestrian,Car,13/12/18,18:29,0,17,30,32,30 - 35,1,1,0,Residential,Mombasa
Car,Motorbike,13/01/18,19:06,1,26,50,46,45 - 50,0,1,1,Residential,Mombasa
Car,Car,20/03/18,03:46,0,12,30,33,30 - 35,0,1,0,Commercial,Kisumu
Car,Pedestrian,26/09/18,17:17,1,1,30,21,20 - 25,1,0,0,Residential,Nairobi
Pedestrian,Motorbike,05/09/18,20:04,1,11,40,42,40 - 45,N/A,1,1,Commercial,Kehancha
Bicycle,Motorbike,17/08/18,17:50,0,12,20,16,15 - 20,N/A,1,0,Residential,Nakuru
Motorbike,Car,05/11/18,14:26,0,6,50,57,55 - 60,0,1,1,Commercial,Kehancha
Car,Car,15/06/18,20:21,0,21,50,50,50 - 55,0,1,1,Agricultural,Nakuru
Pedestrian,Car,08/02/18,20:20,1,16,40,25,25 - 30,1,0,0,Residential,Nairobi
Motorbike,Pedestrian,05/01/18,17:14,1,5,30,30,30 - 35,N/A,1,0,Residential,Nairobi
Car,Car,14/09/18,09:56,1,28,60,68,65 - 70,1,1,1,Residential,Nairobi
Car,Car,03/03/18,19:37,0,20,70,80,80 - 85,1,1,0,Commercial,Nairobi
Car,Car,03/07/18,10:09,1,14,50,59,55 - 60,1,1,0,Residential,Nairobi
Car,Bicycle,26/12/18,09:37,0,1,30,41,40 - 45,1,0,0,Residential,Nairobi
Motorbike,Car,27/09/18,18:54,1,24,60,73,70 - 75,1,1,0,Residential,Nairobi
Pedestrian,Bicycle,07/09/18,09:48,0,45,20,13,10 - 15,N/A,1,0,Agricultural,Nairobi
Car,Car,08/06/18,18:34,0,19,60,70,70 - 75,1,1,0,Residential,Mombasa
Bicycle,Pedestrian,23/05/18,19:48,1,34,30,39,35 - 40,N/A,1,0,Commercial,Eldoret
Motorbike,Car,09/01/18,17:12,0,33,40,43,40 - 45,0,1,0,Agricultural,Eldoret
Pedestrian,Motorbike,03/07/18,09:11,0,6,20,23,20 - 25,N/A,1,0,Residential,Mombasa
Bicycle,Pedestrian,24/12/18,17:53,0,23,30,34,30 - 35,N/A,0,0,Residential,Nairobi
Bicycle,Pedestrian,13/01/18,20:38,0,9,20,11,10 - 15,N/A,1,0,Transport,Nakuru
Car,Car,09/06/18,20:05,0,24,60,52,50 - 55,1,1,0,Agricultural,Nairobi
Bicycle,Car,03/07/18,19:55,0,20,30,35,35 - 40,1,1,0,Transport,Nairobi
Car,Car,14/04/18,22:48,1,16,60,63,60 - 65,1,1,1,Commercial,Nairobi
Car,Motorbike,25/03/18,08:12,1,22,60,60,60 - 65,1,1,0,Commercial,Kisumu
Car,Bicycle,10/08/18,08:55,0,14,30,43,40 - 45,0,1,0,Commercial,Kisumu
Car,Car,01/10/18,07:16,1,10,50,45,45 - 50,1,1,0,Residential,Nairobi
Car,Car,17/08/18,20:06,1,25,50,60,60 - 65,1,1,0,Residential,Mombasa
Pedestrian,Pedestrian,19/01/18,20:41,1,7,40,47,45 - 50,N/A,1,0,Industrial,Nairobi
Car,Car,07/06/18,19:17,1,16,60,60,60 - 65,1,1,0,Residential,Mombasa
Bicycle,Motorbike,27/06/18,19:11,0,6,30,30,30 - 35,N/A,1,0,Agricultural,Mombasa
Car,Car,18/09/18,13:56,1,20,50,60,60 - 65,1,1,0,Transport,Mombasa
Car,Car,11/10/18,19:57,0,18,50,39,35 - 40,1,1,1,Residential,Nairobi
Motorbike,Bicycle,10/11/18,14:59,0,6,20,26,25 - 30,N/A,1,0,Agricultural,Nairobi
Bicycle,Bicycle,08/05/18,22:34,0,13,30,30,30 - 35,N/A,1,0,Agricultural,Nairobi
Car,Car,19/07/18,17:57,1,26,40,37,35 - 40,1,0,0,Residential,Mombasa
Motorbike,Motorbike,13/09/18,10:47,1,8,60,65,65 - 70,N/A,1,0,Residential,Kehancha
Bicycle,Bicycle,13/11/18,19:33,0,19,30,33,30 - 35,N/A,1,0,Residential,Nairobi
Bicycle,Pedestrian,10/06/18,18:07,1,7,30,21,20 - 25,N/A,0,0,Residential,Mombasa
Pedestrian,Pedestrian,09/07/18,01:10,0,18,20,32,30 - 35,N/A,1,0,Agricultural,Nairobi
Bicycle,Pedestrian,15/01/18,21:26,0,18,20,22,20 - 25,N/A,0,0,Residential,Mombasa
Pedestrian,Bicycle,08/01/18,17:22,0,12,20,22,20 - 25,N/A,0,0,Residential,Eldoret
Bicycle,Pedestrian,13/11/18,00:03,0,16,30,37,35 - 40,N/A,1,0,Agricultural,Mombasa
Car,Motorbike,28/09/18,18:26,1,10,50,55,55 - 60,0,1,0,Residential,Kikuyu
Car,Car,09/04/18,19:01,0,2,60,51,50 - 55,0,1,0,Industrial,Nairobi
Motorbike,Bicycle,22/11/18,20:59,0,20,30,36,35 - 40,N/A,1,0,Residential,Nairobi
Motorbike,Motorbike,19/01/18,19:52,0,29,60,60,60 - 65,N/A,1,1,Agricultural,Nairobi
Bicycle,Motorbike,11/12/18,18:43,0,22,40,48,45 - 50,N/A,1,0,Agricultural,Nakuru
Car,Car,11/08/18,10:45,0,17,70,79,75 - 80,1,1,0,Agricultural,Nairobi
Car,Bicycle,15/03/18,07:29,1,24,30,30,30 - 35,0,1,0,Transport,Mombasa
Car,Bicycle,16/07/18,10:59,0,8,40,43,40 - 45,0,1,0,Residential,Kisumu
Car,Car,12/09/18,02:00,1,11,60,72,70 - 75,1,1,0,Residential,Nairobi
Motorbike,Car,08/11/18,18:32,1,18,60,48,45 - 50,1,1,0,Commercial,Nairobi
Motorbike,Pedestrian,28/05/18,17:38,0,29,40,40,40 - 45,N/A,1,0,Commercial,Kehancha
Motorbike,Motorbike,03/12/18,10:36,0,14,20,35,35 - 40,N/A,1,0,Agricultural,Kehancha
Pedestrian,Car,15/02/18,08:43,0,33,40,36,35 - 40,0,1,0,Residential,Kehancha
Car,Motorbike,19/01/18,20:48,0,1,50,46,45 - 50,1,1,0,Agricultural,Nairobi
Motorbike,Car,14/01/18,14:27,1,6,40,40,40 - 45,0,1,0,Commercial,Eldoret
