vehicle_type,second_vehicle_type,date,time,road_has_pavement,distance_to_nearest_traffic_tight,speed_limit,estimated_speed_of_collision,seat_belt_used,injury_sustained,lethal,land_use,city
Car,Bicycle,05/03/18,20:28,0,3,30,29,0,1,0,Agricultural,Eldoret
Car,Car,19/11/18,19:17,0,10,70,73,1,1,0,Commercial,Nairobi
Car,Car,02/09/18,19:59,0,11,50,37,0,1,0,Residential,Kisumu
Car,Car,17/08/18,18:11,0,34,50,58,0,1,0,Agricultural,Mombasa
Bicycle,Bicycle,11/04/18,05:48,0,22,20,20,N/A,0,0,Transport,Nairobi
Bicycle,Bicycle,28/11/18,13:43,1,10,30,33,N/A,1,0,Residential,Mombasa
Pedestrian,Pedestrian,14/06/18,10:06,1,5,20,8,N/A,0,0,Residential,Nairobi
Motorbike,Bicycle,08/04/18,19:39,1,12,20,20,N/A,1,0,Residential,Nairobi
Bicycle,Motorbike,26/08/18,18:23,1,39,20,16,N/A,1,0,Transport,Nairobi
Pedestrian,Pedestrian,01/01/18,23:03,1,11,20,30,N/A,1,0,Residential,Nairobi
Car,Car,06/12/18,10:39,1,18,70,72,1,1,0,Residential,Mombasa
Car,Motorbike,18/10/18,20:55,0,10,50,48,1,1,0,Agricultural,Nairobi
Car,Motorbike,10/04/18,18:09,0,32,50,45,1,1,0,Agricultural,Nairobi
Motorbike,Motorbike,28/03/18,19:36,0,31,60,61,N/A,1,1,Transport,Eldoret
Bicycle,Car,08/11/18,19:09,1,8,30,34,1,1,0,Residential,Mombasa
Pedestrian,Motorbike,15/05/18,20:19,1,22,30,41,N/A,1,0,Commercial,Kehancha
Bicycle,Car,20/02/18,03:54,0,19,30,37,1,1,0,Agricultural,Nairobi
Car,Motorbike,11/09/18,20:34,0,8,50,36,1,1,0,Agricultural,Nairobi
Pedestrian,Motorbike,19/03/18,18:15,0,8,40,38,N/A,1,0,Commercial,Mombasa
Car,Car,12/10/18,18:47,0,4,40,34,0,1,0,Industrial,Eldoret
Pedestrian,Pedestrian,08/03/18,19:58,0,15,30,22,N/A,0,0,Agricultural,Nairobi
Pedestrian,Car,06/11/18,20:51,0,18,40,47,1,1,0,Commercial,Nairobi
Pedestrian,Pedestrian,15/12/18,10:50,1,4,30,22,N/A,0,0,Residential,Kisumu
Car,Car,06/10/18,20:10,1,31,40,34,1,1,0,Residential,Mombasa
Motorbike,Car,24/04/18,11:24,0,19,50,56,1,1,0,Residential,Nairobi
Pedestrian,Car,21/01/18,19:31,0,8,40,46,1,1,0,Agricultural,Nairobi
Car,Motorbike,14/07/18,09:46,0,20,20,30,0,1,0,Residential,Eldoret
Bicycle,Pedestrian,06/07/18,17:09,0,19,20,14,N/A,0,0,Agricultural,Nairobi
Car,Car,04/10/18,20:50,1,18,96.0,107.0,1,1,0,Residential,Mombasa
Car,Car,06/06/18,04:18,1,17,60,66,1,1,0,Residential,Mombasa
Car,Car,16/05/18,17:03,0,20,60,50,1,1,0,Commercial,Kisumu
Car,Bicycle,04/08/18,08:51,0,17,50,57,0,1,0,Transport,Kisumu
Motorbike,Bicycle,20/08/18,17:38,0,35,30,25,N/A,1,0,Agricultural,Nairobi
Car,Car,15/05/18,03:09,0,26,70,65,0,1,0,Transport,Kehancha
Car,Motorbike,22/02/18,20:34,0,2,50,57,0,1,0,Residential,Nairobi
Car,Car,15/05/18,10:32,0,18,50,37,0,1,0,Residential,Nairobi
Pedestrian,Motorbike,03/05/18,10:23,0,24,20,23,N/A,1,0,Commercial,Kisumu
Motorbike,Pedestrian,05/03/18,09:47,0,4,30,33,N/A,1,0,Industrial,Nakuru
Bicycle,Pedestrian,18/08/18,01:39,0,8,20,20,N/A,1,0,Agricultural,Mombasa
Bicycle,Pedestrian,18/02/18,13:01,0,31,48.0,61.0,N/A,1,0,Transport,Kisumu
Car,Car,01/06/18,18:53,0,8,50,45,0,1,0,Residential,Nairobi
Pedestrian,Car,10/09/18,17:18,0,14,40,27,1,0,0,Residential,Nairobi
Motorbike,Pedestrian,16/09/18,08:21,0,33,20,18,N/A,1,0,Transport,Nairobi
Car,Bicycle,02/01/18,13:19,1,27,50,42,1,1,0,Transport,Nairobi
Car,Motorbike,11/05/18,17:12,0,11,20,26,1,1,0,Residential,Nairobi
Car,Car,23/03/18,06:37,0,4,60,65,1,1,0,Residential,Nairobi
Bicycle,Bicycle,12/09/18,03:03,1,30,20,33,N/A,1,0,Residential,Nairobi
Motorbike,Motorbike,24/05/18,09:52,1,19,50,60,N/A,1,1,Residential,Nakuru
Car,Car,15/12/18,10:32,0,16,30,34,1,1,0,Agricultural,Nairobi
Bicycle,Pedestrian,26/02/18,20:21,0,14,20,12,N/A,0,0,Residential,Nairobi
Car,Motorbike,16/04/18,09:11,0,25,50,62,0,1,1,Residential,Kikuyu
Bicycle,Bicycle,26/10/18,15:39,1,26,30,45,N/A,1,0,Residential,Mombasa
Car,Pedestrian,08/05/18,18:50,0,13,40,46,1,1,0,Industrial,Nairobi
Pedestrian,Motorbike,21/10/18,19:27,0,2,30,37,N/A,1,0,Commercial,Nairobi
Bicycle,Pedestrian,03/12/18,18:46,0,22,30,35,N/A,0,0,Agricultural,Mombasa
Bicycle,Bicycle,16/07/18,20:08,1,9,30,39,N/A,1,0,Transport,Nairobi
Bicycle,Car,21/07/18,21:08,0,18,30,31,1,1,0,Transport,Kehancha
Car,Motorbike,18/03/18,09:23,0,35,40,26,1,1,0,Residential,Mombasa
Pedestrian,Car,09/05/18,08:59,0,31,40,39,0,1,0,Agricultural,Mombasa
Car,Car,14/02/18,08:11,0,21,60,57,0,1,1,Residential,Mombasa
Pedestrian,Pedestrian,20/11/18,03:18,0,24,30,30,N/A,0,0,Agricultural,Nairobi
Pedestrian,Car,02/06/18,09:00,1,14,30,24,1,1,0,Residential,Nakuru
Car,Car,15/09/18,19:07,0,31,60,47,1,1,0,Agricultural,Nairobi
Pedestrian,Motorbike,05/08/18,21:52,0,7,20,22,N/A,1,0,Agricultural,Nairobi
Car,Car,14/06/18,19:27,0,7,50,50,1,1,0,Commercial,Nairobi
Pedestrian,Bicycle,08/01/18,09:05,1,11,30,30,N/A,1,0,Residential,Mombasa
Car,Car,05/02/18,08:19,1,19,70,63,1,1,0,Residential,Mombasa
Car,Car,06/09/18,08:19,0,26,50,53,1,1,0,Agricultural,Kisumu
Pedestrian,Car,11/03/18,13:04,0,13,30,34,1,1,0,Agricultural,Nairobi
Motorbike,Bicycle,25/07/18,05:22,1,25,20,28,N/A,1,0,Residential,Nairobi
Motorbike,Bicycle,23/07/18,10:45,1,20,40,44,N/A,1,0,Commercial,Mombasa
Pedestrian,Bicycle,04/05/18,10:42,1,8,30,44,N/A,1,0,Residential,Nairobi
Car,Car,15/07/18,19:02,0,19,70,70,1,1,0,Residential,Nairobi
Car,Car,01/09/18,09:59,0,6,50,45,1,1,0,Agricultural,Nairobi
Pedestrian,Bicycle,11/11/18,20:40,0,31,40,44,N/A,1,0,Residential,Nairobi
Bicycle,Bicycle,19/10/18,20:54,0,4,20,21,N/A,0,0,Commercial,Nairobi
Car,Car,13/09/18,23:22,0,16,70,66,0,1,0,Residential,Nakuru
Pedestrian,Pedestrian,12/12/18,23:53,0,12,20,18,N/A,1,0,Industrial,Nairobi
Car,Car,12/02/18,04:41,0,27,60,50,1,1,0,Residential,Nairobi
Bicycle,Motorbike,01/08/18,23:41,0,28,40,33,N/A,1,0,Commercial,Mombasa
Car,Bicycle,16/01/18,09:46,0,18,30,34,0,1,0,Transport,Nakuru
Bicycle,Bicycle,11/05/18,10:50,1,1,40,43,N/A,0,0,Commercial,Kehancha
Motorbike,Car,16/01/18,08:52,0,41,60,60,1,1,0,Agricultural,Mombasa
Motorbike,Car,10/10/18,18:53,1,9,60,66,1,1,0,Residential,Nairobi
Bicycle,Bicycle,17/02/18,17:44,0,33,30,25,N/A,1,0,Residential,Nairobi
Car,Car,10/10/18,07:48,0,16,50,44,1,1,0,Residential,Nairobi
Car,Car,22/03/18,15:20,0,19,20,25,1,1,0,Agricultural,Mombasa
Motorbike,Bicycle,15/11/18,12:12,0,29,40,37,N/A,1,0,Residential,Mombasa
Pedestrian,Pedestrian,17/11/18,09:06,0,9,20,12,N/A,0,0,Agricultural,Mombasa
Car,Car,12/12/18,09:28,0,1,60,55,1,1,0,Residential,Nairobi
Motorbike,Car,18/11/18,10:46,1,14,50,49,0,1,0,Residential,Eldoret
Bicycle,Pedestrian,13/03/18,18:46,0,33,30,32,N/A,0,0,Industrial,Eldoret
Bicycle,Motorbike,12/11/18,10:26,1,30,40,48,N/A,1,0,Commercial,Nakuru
Motorbike,Bicycle,09/12/18,10:55,1,9,20,35,N/A,1,0,Residential,Nairobi
Bicycle,Motorbike,05/01/18,22:23,0,6,20,18,N/A,1,0,Agricultural,Nairobi
Bicycle,Bicycle,28/01/18,17:02,0,14,20,20,N/A,0,0,Residential,Nairobi
Car,Car,10/02/18,17:13,0,16,50,55,1,1,0,Agricultural,Nairobi
Bicycle,Bicycle,13/11/18,17:36,0,23,30,26,N/A,1,0,Residential,Nairobi
Bicycle,Pedestrian,14/12/18,08:10,0,7,20,16,N/A,0,0,Residential,Nairobi
Car,Bicycle,07/11/18,17:53,0,25,40,43,1,1,0,Commercial,Mombasa
Bicycle,Motorbike,17/02/18,19:59,1,21,40,30,N/A,1,0,Residential,Mombasa
Car,Bicycle,14/12/18,09:50,1,10,40,37,1,1,0,Residential,Nairobi
Motorbike,Car,15/06/18,20:45,0,31,40,25,0,1,0,Agricultural,Nairobi
Motorbike,Pedestrian,04/11/18,10:21,0,17,20,23,N/A,1,0,Agricultural,Nairobi
Car,Motorbike,03/07/18,19:58,0,15,50,47,1,1,0,Commercial,Nairobi
Motorbike,Bicycle,26/12/18,01:40,0,24,30,34,N/A,1,0,Residential,Mombasa
Pedestrian,Bicycle,11/02/18,17:54,0,0,40,25,N/A,1,0,Industrial,Nairobi
Motorbike,Car,12/10/18,11:04,0,20,40,34,0,1,0,Residential,Kikuyu
Motorbike,Car,16/05/18,19:59,0,30,40,29,1,1,0,Agricultural,Nairobi
Pedestrian,Pedestrian,14/03/18,08:05,0,21,20,23,N/A,0,0,Agricultural,Nairobi
Pedestrian,Motorbike,17/09/18,00:04,0,31,40,55,N/A,1,0,Agricultural,Nakuru
Car,Bicycle,16/10/18,08:53,0,13,20,23,0,1,0,Residential,Nakuru
Motorbike,Pedestrian,04/07/18,13:18,0,14,30,22,N/A,1,0,Commercial,Mombasa
Car,Car,22/09/18,19:20,0,11,50,50,1,1,0,Agricultural,Nairobi
Car,Car,15/07/18,20:07,0,24,60,66,0,1,1,Agricultural,Eldoret
Car,Car,20/11/18,19:31,1,1,70,57,1,1,0,Transport,Nairobi
Car,Car,04/08/18,14:37,0,16,70,73,1,1,0,Agricultural,Kisumu
Bicycle,Pedestrian,15/01/18,16:46,1,14,20,19,N/A,1,0,Residential,Nairobi
Car,Pedestrian,23/05/18,20:33,0,18,20,30,1,1,0,Agricultural,Nairobi
Car,Pedestrian,23/06/18,03:12,1,24,40,32,1,0,0,Residential,Nairobi
Bicycle,Bicycle,01/03/18,17:42,0,13,30,27,N/A,0,0,Residential,Nairobi
Car,Motorbike,08/05/18,17:49,0,19,60,49,1,1,0,Agricultural,Kisumu
Car,Motorbike,10/12/18,18:46,0,12,50,55,1,1,0,Transport,Nairobi
Pedestrian,Pedestrian,05/04/18,13:29,0,21,20,19,N/A,1,0,Commercial,Nairobi
Motorbike,Car,05/04/18,01:55,0,29,70,59,0,1,1,Agricultural,Kikuyu
Pedestrian,Bicycle,21/12/18,18:06,0,4,30,24,N/A,0,0,Industrial,Kehancha
Bicycle,Pedestrian,13/08/18,20:39,0,13,30,33,N/A,1,0,Residential,Nairobi
Car,Pedestrian,12/05/18,20:12,0,24,30,41,1,1,0,Residential,Nairobi
Motorbike,Bicycle,07/03/18,10:33,0,15,40,47,N/A,1,1,Agricultural,Kehancha
Bicycle,Bicycle,15/02/18,20:24,1,16,30,26,N/A,1,0,Residential,Mombasa
Pedestrian,Car,06/06/18,18:05,0,0,20,10,1,0,0,Agricultural,Mombasa
Car,Car,20/09/18,08:30,1,13,60,53,1,1,0,Commercial,Nairobi
Pedestrian,Pedestrian,20/05/18,06:30,0,26,20,15,N/A,0,0,Transport,Nairobi
Bicycle,Pedestrian,25/02/18,17:31,1,16,30,28,N/A,0,0,Commercial,Nairobi
Car,Car,20/10/18,18:44,0,5,50,48,1,1,0,Residential,Nairobi
Bicycle,Pedestrian,27/03/18,18:19,0,5,30,20,N/A,1,0,Agricultural,Mombasa
Bicycle,Car,01/02/18,19:58,1,12,30,23,0,1,0,Agricultural,Eldoret
Motorbike,Motorbike,23/01/18,20:14,1,8,40,41,N/A,1,0,Commercial,Kikuyu
Pedestrian,Bicycle,10/03/18,04:32,0,13,40,30,N/A,0,0,Agricultural,Mombasa
Car,Car,04/03/18,21:59,1,15,70,77,1,1,0,Residential,Nairobi
Car,Car,20/04/18,09:11,1,10,50,41,1,1,0,Residential,Mombasa
Bicycle,Bicycle,21/09/18,01:11,0,1,30,21,N/A,0,0,Residential,Mombasa
Bicycle,Pedestrian,13/02/18,05:37,0,25,30,31,N/A,0,0,Residential,Mombasa
Car,Car,10/04/18,18:53,0,20,40,34,1,0,0,Residential,Kikuyu
Car,Motorbike,01/06/18,09:49,1,9,60,55,1,1,0,Residential,Nairobi
Bicycle,Pedestrian,25/12/18,09:40,1,19,30,27,N/A,1,0,Residential,Kisumu
Car,Pedestrian,21/08/18,10:10,0,16,40,41,1,1,0,Commercial,Nairobi
Car,Motorbike,23/12/18,16:00,0,6,40,46,0,1,0,Agricultural,Mombasa
Car,Car,07/08/18,10:09,0,14,70,70,0,1,0,Commercial,Mombasa
Car,Car,23/01/18,18:02,1,11,50,60,1,1,0,Agricultural,Kikuyu
Motorbike,Motorbike,28/02/18,22:48,0,8,40,29,N/A,1,0,Agricultural,Kehancha
Car,Bicycle,14/10/18,08:44,0,18,20,18,0,1,0,Agricultural,Nairobi
Motorbike,Car,22/01/18,18:31,1,16,60,49,1,1,0,Residential,Mombasa
Car,Pedestrian,17/11/18,17:20,0,21,30,30,0,1,0,Transport,Nairobi
Car,Car,18/07/18,11:21,0,1,40,40,1,0,0,Agricultural,Nairobi
Motorbike,Car,03/11/18,22:41,1,15,40,28,0,1,0,Transport,Nairobi
Motorbike,Bicycle,16/04/18,06:51,0,7,40,46,N/A,1,0,Residential,Mombasa
Motorbike,Car,07/05/18,18:35,0,11,70,67,1,1,0,Agricultural,Nakuru
Bicycle,Pedestrian,22/12/18,17:26,1,14,30,34,N/A,0,0,Agricultural,Nairobi
Motorbike,Car,02/07/18,18:14,1,14,40,32,0,1,0,Residential,Mombasa
Car,Motorbike,21/08/18,20:00,0,15,30,32,1,1,0,Agricultural,Mombasa
Motorbike,Motorbike,16/10/18,20:20,1,28,70,66,N/A,1,0,Commercial,Nairobi
Car,Pedestrian,14/01/18,09:21,0,19,30,28,0,1,0,Commercial,Kehancha
Bicycle,Motorbike,02/09/18,09:59,0,2,30,31,N/A,1,0,Residential,Nairobi
Motorbike,Car,10/03/18,18:06,0,25,40,31,1,1,0,Agricultural,Kisumu
Car,Motorbike,01/10/18,19:54,0,13,40,36,1,1,0,Agricultural,Nairobi
Car,Car,21/04/18,20:08,0,21,70,67,1,1,0,Agricultural,Mombasa
Motorbike,Car,04/09/18,00:40,1,11,50,56,1,1,0,Commercial,Mombasa
Car,Bicycle,15/06/18,08:58,0,18,50,43,1,1,0,Commercial,Nairobi
Car,Car,23/03/18,17:04,1,22,40,46,1,0,0,Residential,Mombasa
Car,Car,04/11/18,17:47,0,18,40,39,1,0,0,Agricultural,Mombasa
Pedestrian,Pedestrian,01/10/18,18:37,0,7,30,29,N/A,0,0,Agricultural,Nairobi
Bicycle,Pedestrian,06/01/18,20:41,1,25,30,41,N/A,1,0,Residential,Mombasa
Pedestrian,Motorbike,13/04/18,19:44,1,22,20,18,N/A,1,0,Residential,Mombasa
Pedestrian,Bicycle,11/08/18,21:58,0,28,20,28,N/A,1,0,Residential,Nairobi
Bicycle,Car,05/05/18,10:06,1,26,30,26,0,1,0,Industrial,Kisumu
Car,Car,10/02/18,09:10,1,4,40,35,1,1,0,Residential,Nairobi
Car,Car,13/09/18,20:35,0,9,40,37,1,1,0,Agricultural,Mombasa
Car,Motorbike,16/06/18,06:16,0,24,50,52,1,1,0,Agricultural,Nairobi
Bicycle,Car,28/04/18,19:34,0,8,40,38,1,1,0,Residential,Kehancha
Motorbike,Car,01/05/18,23:16,0,19,50,49,0,1,1,Transport,Nairobi
Car,Car,03/01/18,10:27,0,4,60,72,1,1,0,Transport,Mombasa
Bicycle,Motorbike,04/01/18,09:47,0,15,40,35,N/A,1,0,Industrial,Nairobi
Bicycle,Pedestrian,14/12/18,09:00,0,22,20,14,N/A,1,0,Agricultural,Nairobi
Bicycle,Motorbike,02/03/18,05:52,0,25,30,30,N/A,1,0,Agricultural,Kikuyu
Car,Car,05/11/18,13:42,1,9,40,42,1,1,0,Industrial,Nairobi
Car,Car,04/04/18,18:01,0,16,60,69,1,1,0,Residential,Nairobi
Pedestrian,Pedestrian,11/09/18,18:23,0,15,20,13,N/A,0,0,Residential,Kikuyu
Motorbike,Car,15/03/18,17:06,1,3,50,52,1,1,0,Residential,Nairobi
Car,Car,13/02/18,18:28,0,12,50,55,0,1,0,Transport,Kisumu
Pedestrian,Bicycle,13/10/18,21:14,1,6,30,30,N/A,1,0,Residential,Nakuru
Pedestrian,Motorbike,14/09/18,18:27,0,8,30,20,N/A,1,0,Agricultural,Mombasa
Car,Car,10/08/18,17:32,0,8,50,50,1,1,0,Commercial,Mombasa
Car,Pedestrian,22/04/18,18:21,1,19,20,13,0,0,0,Residential,Kikuyu
Pedestrian,Bicycle,20/05/18,11:37,1,30,20,14,N/A,1,0,Industrial,Kehancha
Motorbike,Motorbike,28/01/18,20:48,1,22,50,54,N/A,1,0,Residential,Mombasa
Car,Car,04/01/18,07:06,0,12,70,75,1,1,0,Agricultural,Nairobi
Car,Car,17/12/18,02:34,1,14,40,55,0,1,0,Commercial,Nairobi
Car,Car,04/04/18,09:41,0,13,50,61,0,1,0,Transport,Mombasa
Car,Car,09/09/18,10:50,1,9,50,38,1,1,0,Residential,Nairobi
Bicycle,Car,01/05/18,05:29,0,18,20,13,1,0,0,Agricultural,Mombasa
Car,Pedestrian,03/10/18,19:32,1,1,40,38,0,1,0,Residential,Nairobi
Car,Pedestrian,18/01/18,21:06,1,11,20,35,1,0,0,Commercial,Nairobi
Pedestrian,Pedestrian,24/08/18,15:37,0,23,20,29,N/A,1,0,Agricultural,Nairobi
Pedestrian,Pedestrian,23/10/18,08:33,1,5,40,37,N/A,1,0,Commercial,Nairobi
Car,Car,12/02/18,08:58,0,2,50,42,1,1,0,Industrial,Nairobi
Car,Motorbike,13/03/18,07:15,0,32,50,40,0,1,0,Agricultural,Kehancha
Car,Car,18/09/18,09:10,0,28,50,49,1,1,0,Agricultural,Nairobi
Bicycle,Bicycle,14/12/18,18:04,0,12,20,15,N/A,0,0,Agricultural,Mombasa
Car,Car,15/02/18,20:07,1,34,40,41,1,1,0,Residential,Kisumu
Motorbike,Motorbike,11/11/18,10:23,0,21,40,41,N/A,1,0,Residential,Nairobi
Car,Car,25/06/18,18:45,1,16,70,70,1,1,0,Residential,Nairobi
Pedestrian,Bicycle,03/09/18,20:07,0,11,30,16,N/A,1,0,Residential,Nairobi
Motorbike,Car,25/10/18,10:53,0,14,30,22,0,1,0,Agricultural,Kehancha
Bicycle,Motorbike,13/09/18,03:44,0,20,30,37,N/A,1,0,Residential,Nairobi
Car,Car,05/11/18,18:04,0,1,50,45,0,1,0,Residential,Kisumu
Car,Car,22/12/18,20:59,0,24,50,50,1,1,0,Residential,Nairobi
Car,Car,08/09/18,18:25,0,21,60,66,1,1,0,Commercial,Nairobi
Car,Car,25/04/18,22:26,0,4,60,63,1,1,0,Agricultural,Kehancha
Bicycle,Car,19/08/18,16:10,0,10,20,12,0,1,0,Agricultural,Nairobi
Car,Car,19/05/18,17:33,0,22,50,52,1,1,0,Industrial,Mombasa
Motorbike,Pedestrian,05/11/18,19:43,0,36,30,38,N/A,1,0,Industrial,Nairobi
Car,Car,23/06/18,18:03,1,33,50,50,1,1,0,Residential,Nakuru
Bicycle,Bicycle,15/02/18,12:07,0,15,30,30,N/A,1,0,Agricultural,Mombasa
Car,Motorbike,28/11/18,09:53,0,5,50,50,1,1,0,Agricultural,Nairobi
Motorbike,Car,17/12/18,17:10,0,15,50,39,1,1,0,Agricultural,Nairobi
Motorbike,Car,16/04/18,10:03,1,10,50,55,1,1,0,Industrial,Kehancha
Motorbike,Bicycle,24/05/18,17:47,1,9,40,45,N/A,1,0,Residential,Nairobi
Car,Car,04/07/18,08:39,1,8,60,61,1,1,0,Residential,Nairobi
Pedestrian,Bicycle,18/10/18,19:45,0,10,30,30,N/A,1,0,Industrial,Kikuyu
Car,Motorbike,27/02/18,15:00,1,17,60,59,0,1,1,Commercial,Kisumu
Car,Car,25/09/18,17:08,0,13,50,43,0,1,0,Residential,Nairobi
Motorbike,Pedestrian,28/09/18,11:53,0,28,40,27,N/A,1,0,Agricultural,Kikuyu
Motorbike,Bicycle,13/08/18,09:20,0,27,30,17,N/A,1,0,Agricultural,Nairobi
Car,Car,10/04/18,04:22,0,3,30,37,1,0,0,Agricultural,Mombasa
Pedestrian,Pedestrian,17/09/18,15:16,1,17,20,35,N/A,0,0,Residential,Mombasa
Motorbike,Car,15/08/18,11:26,0,18,50,53,0,1,0,Residential,Nairobi
Bicycle,Pedestrian,14/07/18,20:49,0,15,20,27,N/A,1,0,Residential,Mombasa
Bicycle,Motorbike,06/12/18,08:50,0,28,20,24,N/A,1,0,Transport,Nakuru
Car,Motorbike,10/08/18,02:48,1,2,50,36,0,1,0,Residential,Nakuru
Car,Car,23/01/18,19:58,0,23,96.0,92.0,0,1,1,Agricultural,Nairobi
Car,Pedestrian,11/06/18,20:19,0,37,40,42,0,1,0,Industrial,Mombasa
Bicycle,Motorbike,02/12/18,10:05,0,1,40,38,N/A,1,0,Transport,Mombasa
Car,Car,24/11/18,13:38,1,30,70,70,1,1,0,Residential,Nairobi
Pedestrian,Car,18/09/18,07:54,0,12,30,27,0,1,0,Residential,Eldoret
Car,Car,15/02/18,09:54,1,9,50,51,1,1,0,Commercial,Nairobi
Car,Bicycle,11/08/18,19:23,1,11,20,15,1,1,0,Commercial,Kisumu
Car,Car,06/02/18,05:11,0,14,70,65,1,1,0,Residential,Nairobi
Bicycle,Pedestrian,18/03/18,00:07,0,10,40,36,N/A,1,0,Residential,Nairobi
Bicycle,Pedestrian,24/06/18,20:03,0,22,30,43,N/A,1,0,Agricultural,Nairobi
Pedestrian,Pedestrian,02/12/18,08:28,1,28,20,24,N/A,0,0,Commercial,Nakuru
Bicycle,Pedestrian,04/11/18,08:36,0,3,30,31,N/A,0,0,Residential,Mombasa
Pedestrian,Pedestrian,11/12/18,17:19,1,10,30,38,N/A,1,0,Commercial,Mombasa
Motorbike,Pedestrian,25/04/18,18:38,1,8,20,35,N/A,1,0,Residential,Kehancha
Car,Car,14/05/18,19:10,0,16,50,52,0,1,0,Residential,Kehancha
Pedestrian,Pedestrian,04/11/18,18:09,0,3,30,41,N/A,0,0,Industrial,Nakuru
Pedestrian,Pedestrian,23/04/18,08:41,0,19,40,50,N/A,1,0,Residential,Nairobi
Motorbike,Motorbike,27/07/18,08:16,0,26,20,11,N/A,1,0,Agricultural,Kehancha
Pedestrian,Pedestrian,03/11/18,18:40,0,20,40,43,N/A,0,0,Residential,Nairobi
Car,Car,04/06/18,18:44,0,29,70,75,1,1,0,Agricultural,Mombasa
Motorbike,Car,22/01/18,08:01,0,5,70,75,1,1,0,Residential,Nairobi
Car,Car,22/10/18,18:19,0,25,60,57,1,1,0,Industrial,Nairobi
Car,Motorbike,02/10/18,20:57,1,30,50,43,1,1,0,Transport,Nairobi
Motorbike,Bicycle,10/09/18,00:41,0,12,30,30,N/A,1,0,Residential,Nairobi
Car,Car,10/03/18,10:53,1,27,40,26,1,1,0,Residential,Mombasa
Motorbike,Motorbike,06/10/18,02:50,1,8,60,70,N/A,1,1,Residential,Nairobi
Bicycle,Bicycle,26/09/18,10:51,0,4,30,34,N/A,1,0,Commercial,Nairobi
Bicycle,Pedestrian,23/03/18,03:03,0,29,30,32,N/A,0,0,Agricultural,Kehancha
Car,Car,27/02/18,08:50,0,1,60,64,1,1,0,Industrial,Nairobi
Bicycle,Pedestrian,22/01/18,17:11,1,14,30,29,N/A,1,0,Residential,Nairobi
Pedestrian,Pedestrian,16/11/18,08:12,1,25,20,32,N/A,0,0,Residential,Kikuyu
